iter	Passed	Remaining
751	20050	6612
752	20076	6585
753	20101	6558
754	20128	6531
755	20154	6504
756	20180	6478
757	20208	6451
758	20236	6425
759	20261	6398
760	20286	6371
761	20311	6343
762	20336	6316
763	20360	6289
764	20388	6263
765	20412	6235
766	20438	6208
767	20465	6182
768	20495	6156
769	20520	6129
770	20547	6102
771	20572	6075
772	20598	6048
773	20623	6021
774	20649	5995
775	20675	5968
776	20700	5941
777	20725	5913
778	20754	5888
779	20783	5862
780	20809	5835
781	20835	5808
782	20862	5781
783	20889	5755
784	20914	5728
785	20940	5701
786	20964	5673
787	20988	5646
788	21014	5619
789	21034	5591
790	21066	5566
791	21095	5540
792	21120	5513
793	21146	5486
794	21172	5459
795	21197	5432
796	21222	5405
797	21249	5378
798	21275	5352
799	21300	5325
800	21331	5299
801	21355	5272
802	21382	5245
803	21408	5218
804	21433	5191
805	21461	5165
806	21486	5138
807	21512	5111
808	21539	5085
809	21563	5058
810	21593	5032
811	21618	5005
812	21644	4978
813	21667	4951
814	21693	4924
815	21720	4897
816	21745	4870
817	21771	4844
818	21790	4815
819	21814	4788
820	21841	4762
821	21870	4735
822	21897	4709
823	21922	4682
824	21947	4655
825	21970	4628
826	21996	4601
827	22024	4575
828	22052	4548
829	22076	4521
830	22103	4495
831	22129	4468
832	22156	4441
833	22181	4414
834	22208	4388
835	22234	4361
836	22260	4335
837	22285	4308
838	22311	4281
839	22338	4254
840	22363	4228
841	22389	4201
842	22412	4174
843	22444	4148
844	22470	4121
845	22493	4094
846	22518	4067
847	22543	4040
848	22568	4013
849	22594	3987
850	22621	3960
851	22646	3933
852	22672	3907
853	22697	3880
854	22728	3854
855	22754	3827
856	22779	3800
857	22806	3774
858	22834	3748
859	22859	3721
860	22887	3694
861	22912	3668
862	22937	3641
863	22964	3614
864	22999	3589
865	23028	3563
866	23056	3536
867	23083	3510
868	23110	3483
869	23138	3457
870	23165	3430
871	23191	3404
872	23218	3377
873	23243	3350
874	23269	3324
875	23295	3297
876	23320	3270
877	23345	3243
878	23371	3217
879	23396	3190
880	23421	3163
881	23447	3137
882	23473	3110
883	23501	3083
884	23527	3057
885	23560	3031
886	23579	3003
887	23606	2977
888	23633	2950
889	23658	2924
890	23683	2897
891	23710	2870
892	23735	2844
893	23760	2817
894	23787	2790
895	23813	2764
896	23838	2737
897	23862	2710
898	23890	2684
899	23914	2657
900	23939	2630
901	23966	2603
902	23992	2577
903	24018	2550
904	24048	2524
905	24076	2497
906	24105	2471
907	24133	2445
908	24158	2418
909	24183	2391
910	24211	2365
911	24239	2338
912	24267	2312
913	24293	2285
914	24320	2259
915	24346	2232
916	24376	2206
917	24405	2180
918	24430	2153
919	24455	2126
920	24480	2099
921	24508	2073
922	24535	2046
923	24560	2020
924	24586	1993
925	24614	1967
926	24643	1940
927	24669	1914
928	24697	1887
929	24722	1860
930	24750	1834
931	24777	1807
932	24804	1781
933	24831	1754
934	24853	1727
935	24879	1701
936	24904	1674
937	24932	1647
938	24957	1621
939	24984	1594
940	25010	1568
941	25038	1541
942	25063	1514
943	25087	1488
944	25111	1461
945	25138	1434
946	25164	1408
947	25191	1381
948	25214	1355
949	25240	1328
950	25266	1301
951	25298	1275
952	25325	1249
953	25351	1222
954	25376	1195
955	25403	1169
956	25431	1142
957	25459	1116
958	25488	1089
959	25513	1063
960	25538	1036
961	25562	1009
962	25582	982
963	25609	956
964	25635	929
965	25661	903
966	25685	876
967	25711	849
968	25737	823
969	25765	796
970	25789	770
971	25815	743
972	25842	717
973	25867	690
974	25891	663
975	25916	637
976	25941	610
977	25966	584
978	25990	557
979	26017	530
980	26045	504
981	26069	477
982	26098	451
983	26125	424
984	26151	398
985	26175	371
986	26202	345
987	26228	318
988	26255	292
989	26279	265
990	26305	238
991	26334	212
992	26358	185
993	26382	159
994	26406	132
995	26430	106
996	26455	79
997	26479	53
998	26504	26
999	26533	0
