iter	Passed	Remaining
858	26384	4330
859	26414	4300
860	26446	4269
861	26479	4239
862	26510	4208
863	26542	4178
864	26571	4146
865	26598	4115
866	26632	4085
867	26665	4055
868	26695	4024
869	26728	3993
870	26760	3963
871	26790	3932
872	26823	3902
873	26851	3870
874	26880	3840
875	26908	3809
876	26934	3777
877	26958	3745
878	26993	3715
879	27018	3684
880	27050	3653
881	27081	3623
882	27112	3592
883	27147	3562
884	27178	3531
885	27210	3501
886	27233	3469
887	27264	3438
888	27294	3407
889	27319	3376
890	27352	3346
891	27382	3315
892	27410	3284
893	27440	3253
894	27471	3222
895	27498	3191
896	27525	3160
897	27551	3129
898	27585	3099
899	27613	3068
900	27637	3036
901	27665	3005
902	27700	2975
903	27729	2944
904	27760	2914
905	27793	2883
906	27823	2852
907	27855	2822
908	27886	2791
909	27918	2761
910	27950	2730
911	27975	2699
912	28003	2668
913	28037	2638
914	28070	2607
915	28102	2577
916	28131	2546
917	28159	2515
918	28189	2484
919	28221	2454
920	28252	2423
921	28282	2392
922	28311	2361
923	28335	2330
924	28362	2299
925	28397	2269
926	28427	2238
927	28458	2207
928	28489	2177
929	28520	2146
930	28553	2116
931	28583	2085
932	28615	2054
933	28648	2024
934	28673	1993
935	28702	1962
936	28730	1931
937	28763	1901
938	28792	1870
939	28822	1839
940	28851	1808
941	28883	1778
942	28914	1747
943	28944	1717
944	28973	1686
945	28998	1655
946	29023	1624
947	29058	1593
948	29084	1562
949	29114	1532
950	29143	1501
951	29176	1471
952	29208	1440
953	29238	1409
954	29272	1379
955	29301	1348
956	29332	1317
957	29360	1287
958	29391	1256
959	29419	1225
960	29450	1195
961	29479	1164
962	29504	1133
963	29533	1102
964	29563	1072
965	29594	1041
966	29625	1010
967	29655	980
968	29686	949
969	29712	918
970	29735	888
971	29769	857
972	29802	826
973	29829	796
974	29857	765
975	29889	734
976	29919	704
977	29951	673
978	29977	643
979	30012	612
980	30035	581
981	30060	551
982	30097	520
983	30129	489
984	30168	459
985	30201	428
986	30234	398
987	30267	367
988	30298	336
989	30326	306
990	30356	275
991	30382	245
992	30406	214
993	30437	183
994	30467	153
995	30497	122
996	30524	91
997	30554	61
998	30583	30
999	30616	0
